ki;kinek;mikor;hossz
teke11@freemail.hu;petrakis@citromail.hu;15:26;1236
szabo@freemail.hu;tevehaz@citromail.hu;12:55;571
tevehaz@citromail.hu;mateka2@citromail.hu;23:22;1444
potyi75@gmail.com;misedina@gmail.com;14:51;395
mateka2@citromail.hu;tevehaz@citromail.hu;07:43;1197
regina09@citromail.hu;szabo@freemail.hu;06:19;1159
krisz17@gmail.com;nemen@freemail.hu;07:50;776
nemen@freemail.hu;mateka2@citromail.hu;09:02;958
rita03@freemail.hu;bond007@gmail.com;13:03;119
petrakis@citromail.hu;krisz17@gmail.com;08:59;557
potyi75@gmail.com;misedina@gmail.com;15:34;288
bond007@gmail.com;rita03@freemail.hu;08:13;1317
potyi75@gmail.com;mateka2@citromail.hu;21:15;1857
sanyi17@citromail.hu;pistanagy@gmail.com;13:13;901
nemen@freemail.hu;pistanagy@gmail.com;15:06;1225
petrakis@citromail.hu;valaki@gmail.com;13:12;1069
szabo@freemail.hu;bond007@gmail.com;11:40;1816
pistanagy@gmail.com;mateka2@citromail.hu;22:46;1407
valaki@gmail.com;pistanagy@gmail.com;10:21;206
nemen@freemail.hu;rita03@freemail.hu;11:19;699
nemen@freemail.hu;tevehaz@citromail.hu;21:29;1491
pistanagy@gmail.com;rita03@freemail.hu;13:16;895
bela06@gmail.com;bond007@gmail.com;09:23;838
rita03@freemail.hu;bond007@gmail.com;13:45;200
bond007@gmail.com;szabo@freemail.hu;07:22;988
krisz17@gmail.com;valaki@gmail.com;09:14;798
regina09@citromail.hu;bond007@gmail.com;18:02;1997
pistanagy@gmail.com;petrakis@citromail.hu;08:11;1625
tevehaz@citromail.hu;krisz17@gmail.com;11:35;739
mateka2@citromail.hu;bond007@gmail.com;22:38;1324
tevehaz@citromail.hu;pistanagy@gmail.com;18:51;1405
krisz17@gmail.com;mateka2@citromail.hu;17:22;316
tevehaz@citromail.hu;valaki@gmail.com;19:44;17
valaki@gmail.com;petrakis@citromail.hu;20:31;524
valaki@gmail.com;szabo@freemail.hu;14:57;987
bond007@gmail.com;potyi75@gmail.com;20:14;1753
bela06@gmail.com;valaki@gmail.com;07:47;66
pistanagy@gmail.com;botond3@gmail.com;15:49;840
mateka2@citromail.hu;petrakis@citromail.hu;08:49;1400
mateka2@citromail.hu;misedina@gmail.com;21:06;1646
rita03@freemail.hu;misedina@gmail.com;16:10;1915
krisz17@gmail.com;bond007@gmail.com;22:26;182
regina09@citromail.hu;tevehaz@citromail.hu;13:52;41
krisz17@gmail.com;bela06@gmail.com;20:44;1745
bela06@gmail.com;petrakis@citromail.hu;07:03;1954
potyi75@gmail.com;tevehaz@citromail.hu;19:10;94
potyi75@gmail.com;bond007@gmail.com;21:18;697
regina09@citromail.hu;nemen@freemail.hu;18:16;1544
regina09@citromail.hu;szabo@freemail.hu;12:51;1488
potyi75@gmail.com;tevehaz@citromail.hu;09:26;1265
tevehaz@citromail.hu;rita03@freemail.hu;12:06;1812
rita03@freemail.hu;tevehaz@citromail.hu;13:30;1200
mateka2@citromail.hu;krisz17@gmail.com;06:14;605
krisz17@gmail.com;regina09@citromail.hu;11:02;660
regina09@citromail.hu;pistanagy@gmail.com;23:17;22
valaki@gmail.com;mateka2@citromail.hu;20:31;516
mateka2@citromail.hu;valaki@gmail.com;13:16;218
valaki@gmail.com;bela06@gmail.com;09:37;749
petrakis@citromail.hu;tevehaz@citromail.hu;18:34;133
mateka2@citromail.hu;valaki@gmail.com;21:40;1001
krisz17@gmail.com;mateka2@citromail.hu;09:56;991
petrakis@citromail.hu;nemen@freemail.hu;19:42;1999
pistanagy@gmail.com;botond3@gmail.com;12:57;1505
krisz17@gmail.com;botond3@gmail.com;23:32;41
valaki@gmail.com;rita03@freemail.hu;19:47;530
bond007@gmail.com;teke11@freemail.hu;14:10;598
regina09@citromail.hu;sanyi17@citromail.hu;16:27;87
potyi75@gmail.com;szabo@freemail.hu;10:32;963
regina09@citromail.hu;bela06@gmail.com;19:13;529
potyi75@gmail.com;botond3@gmail.com;06:38;665
bela06@gmail.com;potyi75@gmail.com;20:10;1334
mateka2@citromail.hu;bela06@gmail.com;06:15;542
mateka2@citromail.hu;misedina@gmail.com;13:32;457
krisz17@gmail.com;rita03@freemail.hu;07:01;296
potyi75@gmail.com;sanyi17@citromail.hu;22:52;361
bela06@gmail.com;szabo@freemail.hu;22:04;507
petrakis@citromail.hu;tevehaz@citromail.hu;09:51;560
bela06@gmail.com;teke11@freemail.hu;14:43;50
szabo@freemail.hu;sanyi17@citromail.hu;22:31;1821
